-0.0375	-0.0919	0.0077	0.0053	0.0532	-0.3015	-0.0992	-0.1078	0.4742	0.0681	0.0125	-0.4410	0.0670	-0.3687	-0.3262	0.0001	0.0467	
0.0688	-0.0368	0.0009	-0.0015	0.2584	-0.1583	0.0894	0.0770	-0.4382	-0.0793	-0.0689	0.9509	-0.4256	-0.3687	-0.0919	-0.0002	-0.0231	
-0.0163	0.0423	0.0072	0.0050	-0.1128	0.0021	-0.0694	-0.0787	0.4870	0.0931	0.0679	-0.4410	-0.0865	-0.3687	0.2205	0.0001	0.0855	
-0.0730	-0.0392	-0.0146	-0.0030	-0.3165	0.1154	-0.1456	-0.0600	0.3695	0.0704	0.0993	-0.4410	-0.1430	1.5663	-0.3262	-0.0004	-0.1304	
0.0971	0.1865	0.0070	0.0045	0.0147	0.0619	0.0351	0.0237	0.6868	0.2287	0.2786	0.4558	0.2527	-0.3687	0.4549	0.0001	0.1540	
0.1042	0.1796	0.0052	0.0033	0.0728	-0.3934	-0.1270	-0.1351	0.1665	-0.0464	-0.0504	-0.2541	-0.1834	-0.3687	0.2986	0.0003	-0.1227	
0.0334	-0.0136	0.0080	0.0058	0.5533	-0.1230	0.2864	0.2735	-0.4382	0.0629	0.0938	0.7500	0.0347	-0.3687	0.1424	-0.0002	0.3014	
-0.0021	0.0007	0.0001	-0.0023	0.1686	-0.2310	0.0174	0.0064	0.6120	0.1932	-0.0467	0.6566	1.2218	1.2533	0.3767	0.0003	0.0247	
-0.1367	-0.2036	-0.0105	-0.0081	-0.4795	0.5558	-0.0546	-0.0323	0.3653	0.0892	-0.0615	-0.0206	-0.4256	1.0896	-0.1700	0.0001	-0.1565	
-0.1438	-0.1413	-0.0085	-0.0081	0.1626	-0.3122	-0.0365	-0.0072	-0.4382	-0.1402	-0.3046	-0.4410	-0.3933	-0.3687	-0.4043	0.0001	-0.1873	
-0.0021	0.0399	-0.0019	-0.0043	0.2040	-0.3186	-0.0137	-0.0241	-0.4382	-0.1524	-0.1391	-0.4410	-0.4256	-0.3687	-0.3262	0.0001	-0.1576	
0.1042	0.0746	0.0082	0.0060	0.2735	-0.2727	0.0490	0.0406	0.7819	0.2702	0.1862	0.2456	-0.2560	-0.3687	0.0643	-0.0004	0.3997	
-0.0021	0.1246	-0.0027	-0.0051	0.0766	-0.2748	-0.0732	-0.0823	-0.4382	-0.1945	-0.1687	0.2129	-0.4256	-0.3687	0.2205	0.0001	-0.1201	
0.1467	0.0136	0.0085	0.0063	-0.4795	1.1352	0.1972	0.1825	-0.4382	-0.0030	0.2823	0.3063	-0.1591	-0.3687	0.1424	-0.0002	0.2303	
-0.0021	0.0265	-0.0032	-0.0056	0.0735	0.0940	0.0853	0.0729	-0.4382	-0.0823	-0.1687	-0.4410	1.2945	0.8834	-0.0919	0.0001	-0.0865	
-0.1367	-0.2036	-0.0110	0.0048	-0.4795	0.4275	-0.1103	-0.1087	-0.4382	-0.2136	0.0383	-0.2168	0.4788	-0.3687	0.0643	-0.0002	-0.1511	
-0.0021	0.0418	-0.0006	-0.0030	-0.0434	-0.0065	-0.0304	-0.0404	-0.4382	-0.1642	-0.0504	-0.4410	-0.4256	-0.3687	-0.2481	0.0006	-0.1071	
